data;

# Данные для задачи без дефицита
param D := 600;  # Спрос в единицах в неделю
param S := 25;   # Стоимость размещения одного заказа
param C := 3;    # Закупочная стоимость единицы товара
param h := 0.05; # Стоимость хранения единицы товара в неделю
param p := 0;    # Стоимость дефицита (0, т.е. дефицит не допустим)

# Данные для задачи с дефицитом
# param D := 600;  # Спрос в единицах в неделю
# param S := 25;   # Стоимость размещения одного заказа
# param C := 3;    # Закупочная стоимость единицы товара
# param h := 0.05; # Стоимость хранения единицы товара в неделю
# param p := 2;    # Стоимость дефицита за единицу товара
